job_title,company,location,employment_type,experience,salary,team_size,interview_rounds,required_skills,nice_to_have,perks,domain
FP&A Analyst,Amazon,Delhi / Remote,Full-Time,8+ years,₹23–70 LPA,~12,4,"QuickBooks, Treasury, Credit Analysis, Financial Reporting, GAAP, Investment Banking, SAP, Accounting","LBO Modeling, Excel, CFA","MacBook Pro, Health & dental insurance, Annual performance bonus, Quarterly offsites, Maternity/paternity leave, Flexible work hours",Finance
Design Lead,Paytm,Chennai / Remote,Full-Time,2+ years,₹28–66 LPA,~36,3,"Zeplin, Wireframing, Lottie, User Research, User Flows, Sketch","Card Sorting, InVision, Adobe XD","Free meals, Remote-first culture, ₹50K learning budget, Mental health support, Quarterly offsites, Flexible work hours",UI/UX Design
Security Analyst,KPMG,Delhi / Remote,Full-Time,5+ years,₹14–59 LPA,~29,4,"IAM, Burp Suite, Bash, CISSP, Metasploit, Splunk","DLP, Firewalls, ISO 27001","Flexible work hours, Remote-first culture, MacBook Pro, Mental health support, Annual performance bonus",Cybersecurity
Sales Director,Ola,Gurgaon / Remote,Full-Time,2+ years,₹8–43 LPA,~33,6,"Solution Selling, LinkedIn Sales Navigator, SPIN Selling, Pipeline Management, Negotiation, B2B Sales, HubSpot, Salesforce","Demo Skills, BDR, Account Management","Remote-first culture, ₹50K learning budget, Quarterly offsites, Mental health support, Annual performance bonus",Sales
Business Development Manager,Salesforce,Bangalore / Remote,Full-Time,5+ years,₹12–49 LPA,~35,3,"SDR, Demo Skills, Cold Outreach, Account Management, Proposal Writing, MEDDIC","Contract Negotiation, Solution Selling, Pipeline Management","Annual performance bonus, Maternity/paternity leave, Quarterly offsites, Free meals, Health & dental insurance, Mental health support",Sales
Senior Data Scientist,EY,Noida / Remote,Full-Time,3+ years,₹22–52 LPA,~30,4,"Kubeflow, Redshift, SQL, Scikit-learn, Airflow, MLflow, A/B Testing","Transformers, BigQuery, PyTorch","MacBook Pro, Quarterly offsites, Gym membership, ESOPs, Health & dental insurance",Data Science
Investment Analyst,upGrad,Mumbai / Remote,Full-Time,3+ years,₹17–56 LPA,~27,3,"Valuation, DCF Analysis, Risk Analysis, Investment Banking, Due Diligence, Cash Flow Management, Equity Research, Financial Reporting, CFA","SAP, Accounting, Auditing","ESOPs, MacBook Pro, Mental health support, Flexible work hours",Finance
Financial Analyst,Zoho,Hyderabad / Remote,Full-Time,3+ years,₹13–46 LPA,~26,3,"Budgeting, CFA, Investment Banking, Auditing, Credit Analysis, Cash Flow Management, Tally, Bloomberg Terminal, Treasury","GAAP, VBA, QuickBooks","MacBook Pro, Remote-first culture, Flexible work hours, Gym membership, Annual performance bonus, Maternity/paternity leave",Finance
Group Product Manager,Zerodha,Gurgaon / Remote,Full-Time,6+ years,₹20–56 LPA,~12,6,"Feature Prioritisation, RICE Framework, SQL, Python, Wireframing, Usability Testing, User Research, Miro, JIRA, Stakeholder Management","Customer Discovery, Mixpanel, KPIs","Maternity/paternity leave, Remote-first culture, ESOPs, Annual performance bonus, Quarterly offsites",Product Management
Recruiter,Flipkart,Ahmedabad / Remote,Full-Time,5+ years,₹30–60 LPA,~23,4,"Employer Branding, HRIS, LinkedIn Recruiter, SAP HR, Succession Planning, SuccessFactors, HR Analytics, Employee Relations","Workforce Planning, Training & Development, Organisational Development","Maternity/paternity leave, Free meals, Remote-first culture, MacBook Pro",Human Resources
Senior Financial Analyst,upGrad,Kolkata / Remote,Full-Time,3+ years,₹19–35 LPA,~18,6,"CA, M&A, Oracle Financials, Financial Reporting, SAP, LBO Modeling, Valuation, Excel, DCF Analysis","Bloomberg Terminal, Equity Research, QuickBooks","Maternity/paternity leave, Quarterly offsites, Remote-first culture, Annual performance bonus, MacBook Pro",Finance
Senior Software Engineer,SAP,Bangalore / Remote,Full-Time,1+ years,₹16–30 LPA,~32,4,"Node.js, MongoDB, Vue.js, Linux, Docker, Jenkins, SQL, Spring Boot","FastAPI, Angular, Redis","Quarterly offsites, ₹50K learning budget, Gym membership, ESOPs",Software Engineering
Finance Manager,Paytm,Chennai / Remote,Full-Time,4+ years,₹25–50 LPA,~9,5,"Investment Banking, SAP, Valuation, CFA, Risk Analysis, Excel, Tax Compliance, Financial Modeling, Equity Research, QuickBooks","GAAP, DCF Analysis, Treasury","Annual performance bonus, Quarterly offsites, Flexible work hours, ESOPs, Free meals, Gym membership",Finance
Penetration Tester,PhonePe,Hyderabad / Remote,Full-Time,9+ years,₹28–75 LPA,~20,6,"Incident Response, SIEM, Zero Trust, Python, PKI, Wireshark, Network Security, DLP, Penetration Testing","Cryptography, Firewalls, Cloud Security (AWS/GCP)","MacBook Pro, ₹50K learning budget, Health & dental insurance, Annual performance bonus",Cybersecurity
Credit Analyst,HCL,Jaipur / Remote,Full-Time,9+ years,₹23–68 LPA,~10,3,"Investment Banking, GAAP, SAP, QuickBooks, M&A, Cash Flow Management, Bloomberg Terminal","Valuation, Financial Reporting, CA","Quarterly offsites, Free meals, MacBook Pro, Health & dental insurance, Flexible work hours",Finance
UX Researcher,Apple,Hyderabad / Remote,Full-Time,1+ years,₹21–62 LPA,~15,3,"Motion Design, Figma, Interaction Design, User Flows, Prototyping, Principle, Lottie, Wireframing","Sketch, InVision, A/B Testing","MacBook Pro, ₹50K learning budget, Quarterly offsites, Remote-first culture, ESOPs, Annual performance bonus",UI/UX Design
Head of HR,Cognizant,Bangalore / Remote,Full-Time,6+ years,₹12–30 LPA,~19,3,"Employer Branding, Succession Planning, Compensation & Benefits, Exit Management, Organisational Development, SAP HR, Conflict Resolution, HR Analytics, Change Management","Performance Management, HRIS, Onboarding","Annual performance bonus, Health & dental insurance, Flexible work hours, ₹50K learning budget, MacBook Pro, Maternity/paternity leave",Human Resources
