idx,skill_match_score,experience_match_score,semantic_similarity_score,domain_match,match_score,match_label,num_match_label
0,0.17,0.62,0.5825,1,0.55,partial match,0.5
1,0.0,1.0,0.603,0,0.27,no match,0.0
2,0.0,1.0,0.4904,0,0.46,partial match,0.5
3,0.0,1.0,0.4277,0,0.09,no match,0.0
4,0.0,1.0,0.5142,0,0.66,partial match,0.5
5,0.0,0.67,0.5025,0,0.11,no match,0.0
6,0.33,1.0,0.6231,1,0.95,match,1.0
7,0.0,1.0,0.5239,1,0.17,no match,0.0
8,0.5,1.0,0.6785,1,0.75,match,1.0
9,0.4,1.0,0.6788,1,0.94,match,1.0
10,0.2,1.0,0.6364,1,0.55,partial match,0.5
11,0.25,1.0,0.6333,0,0.89,match,1.0
12,0.36,1.0,0.6337,1,0.77,match,1.0
13,0.17,0.89,0.7345,0,0.9,match,1.0
14,0.11,1.0,0.6604,1,0.4,partial match,0.5
15,0.0,1.0,0.5081,0,0.12,no match,0.0
16,0.0,1.0,0.4092,0,0.19,no match,0.0
17,0.0,1.0,0.4469,0,0.1,no match,0.0
18,0.5,1.0,0.6558,1,0.76,match,1.0
19,0.67,1.0,0.715,1,0.79,match,1.0
20,0.0,1.0,0.5698,0,0.32,no match,0.0
21,0.5,1.0,0.6275,0,0.9,match,1.0
22,0.25,1.0,0.7188,0,0.43,partial match,0.5
23,0.0,1.0,0.5316,0,0.36,no match,0.0
24,0.0,0.5,0.6524,0,0.6,partial match,0.5
25,0.5,0.43,0.7113,1,0.97,match,1.0
26,0.25,1.0,0.6991,0,0.7,partial match,0.5
27,0.0,1.0,0.4923,0,0.35,no match,0.0
28,0.0,0.78,0.6669,1,0.7,partial match,0.5
29,0.17,0.5,0.6947,0,0.5,partial match,0.5
30,0.25,1.0,0.45,0,0.28,no match,0.0
31,0.25,1.0,0.696,0,0.71,partial match,0.5
32,0.0,1.0,0.4642,0,0.29,no match,0.0
33,0.0,0.67,0.5531,0,0.18,no match,0.0
34,0.6,1.0,0.6315,1,0.85,match,1.0
35,0.0,1.0,0.5753,0,0.16,no match,0.0
36,0.5,0.5,0.6452,1,0.84,match,1.0
37,0.0,0.6,0.4857,0,0.09,no match,0.0
38,0.4,1.0,0.6019,0,0.58,partial match,0.5
39,0.0,1.0,0.4681,0,0.73,partial match,0.5
40,0.6,0.33,0.6675,1,0.79,match,1.0
41,0.5,1.0,0.6314,1,0.82,match,1.0
42,1.0,1.0,0.5778,1,0.77,match,1.0
43,0.0,1.0,0.5009,0,0.2,no match,0.0
44,0.43,0.6,0.6959,1,0.96,match,1.0
45,0.0,1.0,0.5586,0,0.07,no match,0.0
46,0.17,1.0,0.5345,1,0.38,no match,0.0
47,0.29,1.0,0.5888,1,0.16,no match,0.0
48,0.0,1.0,0.5627,0,0.29,no match,0.0
49,0.0,1.0,0.4829,0,0.14,no match,0.0
50,0.67,1.0,0.5937,1,0.56,partial match,0.5
51,0.0,0.4,0.5115,0,0.35,no match,0.0
52,0.33,1.0,0.6073,1,0.92,match,1.0
53,0.2,1.0,0.6118,0,0.38,no match,0.0
54,0.0,1.0,0.5325,0,0.26,no match,0.0
55,0.5,0.6,0.6645,0,0.81,match,1.0
56,0.25,1.0,0.6463,0,0.76,match,1.0
57,0.0,1.0,0.4124,0,0.18,no match,0.0
58,0.0,1.0,0.611,0,0.35,no match,0.0
59,0.57,1.0,0.7539,1,0.8,match,1.0
60,0.0,1.0,0.563,0,0.43,partial match,0.5
61,0.14,1.0,0.7378,1,0.97,match,1.0
62,0.1,1.0,0.4738,0,0.54,partial match,0.5
63,0.25,1.0,0.5532,0,0.41,partial match,0.5
64,0.0,1.0,0.5944,0,0.26,no match,0.0
65,0.2,1.0,0.4662,0,0.23,no match,0.0
66,0.0,1.0,0.5556,0,0.37,no match,0.0
